code,cost.of.life,crime.rate,unemployment,sun%,hours.of.sun,clear.days
AL,113.51,5.7,5.9,58,2641,99
AK,93.37,5.6,6.4,41,2061,61
AZ,101.94,4.7,6.1,85,3806,193
AR,114.16,5.6,5.1,61,2771,123
CA,88.57,4.4,5.8,68,3055,146
CO,98.43,2.8,3.8,71,3204,136
CT,91.41,2.4,5.1,56,2585,82
DE,97.75,5.8,5.1,,,97
FL,101.21,5.8,5.1,66,2927,101
GA,108.7,5.7,5.7,66,2986,112
HI,85.32,1.8,3.3,71,,90
ID,106.84,2.0,4.0,64,2993,120
IL,99.40,5.3,5.4,56,2567,95
IN,109.77,5.0,4.4,55,2440,88
IA,111.73,1.9,3.5,59,2691,105
KS,111.23,3.1,4.1,65,2922,128
KY,112.61,3.6,4.9,56,2514,93
LA,109.41,10.3,6.2,57,2649,101
ME,101.73,1.6,4.3,57,2513,101
MD,89.85,6.1,5.1,57,2582,105
MA,93.28,2.0,4.6,58,2634,98
MI,105.93,5.4,5.0,51,2392,71
MN,102.56,1.6,3.7,58,2711,95
MS,115.74,8.6,5.9,61,2720,111
MO,113.51,6.6,5.0,60,2690,115
MT,106.16,3.6,4.1,59,2698,82
NE,110.99,2.9,2.9,61,2762,117
NV,101.83,6.0,6.6,79,3646,158
NH,94.16,0.9,3.3,54,2519,90
NJ,87.64,3.9,5.4,56,2499,94
NM,105.49,4.8,6.8,76,3415,167
NY,86.66,3.1,4.8,46,2120,63
NC,109.17,5.1,5.7,60,2651,109
ND,110.62,3.0,2.8,59,2738,93
OH,112.11,4.0,4.4,50,2183,72
OK,111.23,4.5,4.3,68,3089,139
OR,101.21,2.0,6.0,48,2341,68
PA,101.32,4.8,5.1,58,2614,87
RI,101.32,2.4,5.3,58,2606,98
SC,110.25,6.4,5.6,64,2826,115
SD,113.38,2.3,3.2,63,2947,104
TN,110.25,5.7,5.6,56,2510,102
TX,103.63,4.4,4.4,61,2850,135
UT,103.31,2.3,3.6,66,3029,125
VT,99.11,1.6,3.7,49,2295,58
VA,96.90,4.1,4.2,63,2829,100
WA,96.90,2.5,5.2,47,2170,58
WV,112.87,4.0,6.9,,,60
WI,107.64,2.9,4.3,54,2428,89
WY,103.73,2.7,4.0,68,3073,114
